"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","dtype","framework","num_models","mode","ConvNet with Global Pooling Benchmark Time.combined.max","ConvNet with Global Pooling Benchmark Time.combined.mean","ConvNet with Global Pooling Benchmark Time.combined.median","ConvNet with Global Pooling Benchmark Time.combined.min","ConvNet with Global Pooling Benchmark Time.combined.std","ConvNet with Global Pooling Benchmark Time.fprop.max","ConvNet with Global Pooling Benchmark Time.fprop.mean","ConvNet with Global Pooling Benchmark Time.fprop.median","ConvNet with Global Pooling Benchmark Time.fprop.min","ConvNet with Global Pooling Benchmark Time.fprop.std","4-layer MLP Benchmark Time.bprop.max","4-layer MLP Benchmark Time.bprop.mean","4-layer MLP Benchmark Time.bprop.median","4-layer MLP Benchmark Time.bprop.min","4-layer MLP Benchmark Time.bprop.std","4-layer MLP Benchmark Time.combined.max","4-layer MLP Benchmark Time.combined.mean","4-layer MLP Benchmark Time.combined.median","4-layer MLP Benchmark Time.combined.min","4-layer MLP Benchmark Time.combined.std","4-layer MLP Benchmark Time.fprop.max","4-layer MLP Benchmark Time.fprop.mean","4-layer MLP Benchmark Time.fprop.median","4-layer MLP Benchmark Time.fprop.min","4-layer MLP Benchmark Time.fprop.std","Conv Layer Benchmark Time.combined.max","Conv Layer Benchmark Time.combined.mean","Conv Layer Benchmark Time.combined.median","Conv Layer Benchmark Time.combined.min","Conv Layer Benchmark Time.combined.std","Conv Layer Benchmark Time.fprop.max","Conv Layer Benchmark Time.fprop.mean","Conv Layer Benchmark Time.fprop.median","Conv Layer Benchmark Time.fprop.min","Conv Layer Benchmark Time.fprop.std","ConvNet with Global Pooling Benchmark Time.bprop.max","ConvNet with Global Pooling Benchmark Time.bprop.mean","ConvNet with Global Pooling Benchmark Time.bprop.median","ConvNet with Global Pooling Benchmark Time.bprop.min","ConvNet with Global Pooling Benchmark Time.bprop.std","MLP Benchmark Time.combined.max","MLP Benchmark Time.combined.mean","MLP Benchmark Time.combined.median","MLP Benchmark Time.combined.min","MLP Benchmark Time.combined.std","MLP Benchmark Time.fprop.max","MLP Benchmark Time.fprop.mean","MLP Benchmark Time.fprop.median","MLP Benchmark Time.fprop.min","MLP Benchmark Time.fprop.std","error"
"pytorch-benchmark-B100-N10-dtype<class 'jax.numpy.bfloat16'>-modejit-typefour_conv","finished","-","evolvingfungus","","2023-10-16T20:08:34.000Z","30","","10","jax.numpy.bfloat16","jax","100","","0.017168283462524414","0.011069386005401612","0.016115188598632812","0.0014429092407226562","0.006995365628991984","0.017168283462524414","0.011069386005401612","0.016115188598632812","0.0014429092407226562","0.006995365628991984","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B100-N10-dtype<class 'jax.numpy.bfloat16'>-modejit-type('four_mlp',)","finished","-","evolvingfungus","","2023-10-16T20:08:15.000Z","8","","10","jax.numpy.bfloat16","jax","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B100-N10-dtype<class 'jax.numpy.bfloat16'>-modejit-type('single_conv',)","finished","-","evolvingfungus","","2023-10-16T20:07:57.000Z","8","","10","jax.numpy.bfloat16","jax","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B100-N10-dtype<class 'jax.numpy.bfloat16'>-modejit-type('single_mlp',)","finished","-","evolvingfungus","","2023-10-16T20:07:38.000Z","8","","10","jax.numpy.bfloat16","jax","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B100-N1-dtype<class 'jax.numpy.bfloat16'>-modejit-typefour_conv","finished","-","evolvingfungus","","2023-10-16T20:07:13.000Z","15","","1","jax.numpy.bfloat16","jax","100","","0.0054607391357421875","0.003961796760559082","0.005142688751220703","0.0019812583923339844","0.0015156144342888872","0.0054607391357421875","0.003961796760559082","0.005142688751220703","0.0019812583923339844","0.0015156144342888872","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B100-N1-dtype<class 'jax.numpy.bfloat16'>-modejit-type('four_mlp',)","finished","-","evolvingfungus","","2023-10-16T20:06:54.000Z","8","","1","jax.numpy.bfloat16","jax","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B100-N1-dtype<class 'jax.numpy.bfloat16'>-modejit-type('single_conv',)","finished","-","evolvingfungus","","2023-10-16T20:06:36.000Z","8","","1","jax.numpy.bfloat16","jax","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B100-N1-dtype<class 'jax.numpy.bfloat16'>-modejit-type('single_mlp',)","finished","-","evolvingfungus","","2023-10-16T20:06:18.000Z","7","","1","jax.numpy.bfloat16","jax","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B50-N500-dtype<class 'jax.numpy.bfloat16'>-modejit-type('four_mlp',)","finished","-","evolvingfungus","","2023-10-16T20:03:55.000Z","8","","500","jax.numpy.bfloat16","jax","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B50-N500-dtype<class 'jax.numpy.bfloat16'>-modejit-type('single_conv',)","finished","-","evolvingfungus","","2023-10-16T20:03:36.000Z","8","","500","jax.numpy.bfloat16","jax","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B50-N500-dtype<class 'jax.numpy.bfloat16'>-modejit-type('single_mlp',)","finished","-","evolvingfungus","","2023-10-16T20:03:18.000Z","8","","500","jax.numpy.bfloat16","jax","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B50-N100-dtype<class 'jax.numpy.bfloat16'>-modejit-typefour_conv","finished","-","evolvingfungus","","2023-10-16T20:01:12.000Z","115","","100","jax.numpy.bfloat16","jax","50","","0.1271381378173828","0.09217127084732056","0.12156033515930176","0.0016901493072509766","0.05161802551358843","0.1271381378173828","0.09217127084732056","0.12156033515930176","0.0016901493072509766","0.05161802551358843","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B50-N100-dtype<class 'jax.numpy.bfloat16'>-modejit-type('four_mlp',)","finished","-","evolvingfungus","","2023-10-16T20:00:54.000Z","8","","100","jax.numpy.bfloat16","jax","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B50-N100-dtype<class 'jax.numpy.bfloat16'>-modejit-type('single_conv',)","finished","-","evolvingfungus","","2023-10-16T20:00:34.000Z","9","","100","jax.numpy.bfloat16","jax","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"pytorch-benchmark-B50-N100-dtype<class 'jax.numpy.bfloat16'>-modejit-type('single_mlp',)","finished","-","evolvingfungus","","2023-10-16T20:00:15.000Z","9","","100","jax.numpy.bfloat16","jax","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
